sal_code_2021,suburb,population_2021
SAL10734,Cabarita (NSW),1933
SAL30470,Cabarlah,1307
SAL50231,Cable Beach,5730
SAL30471,Caboolture,29534
SAL30472,Caboolture South,7539
SAL10738,Cabramatta,21142
SAL10739,Cabramatta West,7822
SAL10741,Caddens,3487
SAL20441,Cairnlea,10038
SAL30478,Cairns City,3616
SAL30479,Cairns North,5334
SAL10747,Calala,4577
SAL30480,Calamvale,17994
SAL10749,Calderwood,3013
SAL20444,California Gully,4476
SAL50235,Calista,1975
SAL10754,Callaghan,1358
SAL10756,Callala Bay,2234
SAL30491,Calliope (Qld),5263
SAL30492,Caloundra,3932
SAL30493,Caloundra West,7270
SAL80029,Calwell,5730
SAL20453,Camberwell (Vic.),21965
SAL10763,Cambewarra Village,1211
SAL30496,Cambooya,2260
SAL60090,Cambridge (Tas.),1454
SAL10766,Cambridge Gardens,2030
SAL10767,Cambridge Park,7054
SAL10769,Camden,3378
SAL10771,Camden Park (NSW),2233
SAL40211,Camden Park (SA),3338
SAL10772,Camden South,4595
SAL10774,Cameron Park,9977
SAL50240,Camillo,4442
SAL30501,Camira (Qld),7415
SAL10777,Cammeray,7088
SAL30504,Camp Hill,12254
SAL30505,Camp Mountain,1447
SAL60093,Campania,1158
SAL80030,Campbell,6564
SAL60094,Campbell Town,1023
SAL20455,Campbellfield,4977
SAL20457,Campbells Creek,2071
SAL10779,Campbelltown (NSW),16577
SAL40212,Campbelltown (SA),9263
SAL10780,Camperdown (NSW),9381
SAL20460,Camperdown (Vic.),3354
SAL10781,Campsie,26132
SAL10784,Canada Bay,1308
SAL20461,Canadian,4098
SAL10790,Canley Heights,12320
SAL10791,Canley Vale,10300
SAL50245,Canning Vale,34504
SAL50246,Cannington,6875
SAL30519,Cannon Hill,6701
SAL30520,Cannon Valley,1131
SAL30521,Cannonvale,6596
SAL10795,Canowindra,2437
SAL10796,Canterbury (NSW),9430
SAL20468,Canterbury (Vic.),7800
SAL10797,Canton Beach,1202
SAL30523,Canungra,1436
SAL30524,Capalaba,18002
SAL20473,Cape Paterson,1111
SAL20475,Cape Woolamai,2301
SAL50251,Capel,2606
SAL20476,Capel Sound,5246
SAL30533,Caravonica,2183
SAL30535,Carbrook,1330
SAL10808,Cardiff (NSW),6318
SAL10809,Cardiff Heights,1384
SAL10810,Cardiff South,2931
SAL20485,Cardigan,1064
SAL50260,Cardup,1163
SAL30537,Cardwell,1320
SAL50261,Carey Park,5155
SAL30538,Carina (Qld),11678
